epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.873,1.18292,2.67205,1.33164,0.00667,1,0.56906,0.21354,1.00004,2.79941,1.22088,2e-05,2e-05,2e-05
2,27.9148,1.16232,2.69497,1.31013,0.00619,0.92857,0.72198,0.38207,0.85419,2.77638,1.20283,5.8812e-05,5.8812e-05,5.8812e-05
3,38.8824,1.02076,2.65449,1.23226,0.00619,0.92857,0.688,0.32949,0.81877,2.75913,1.18381,9.604e-05,9.604e-05,9.604e-05
4,49.8251,0.83078,2.43595,1.15678,0.00667,1,0.74065,0.38478,0.71174,2.72595,1.09659,0.000131684,0.000131684,0.000131684
5,60.8211,0.71658,2.37037,1.08783,0.00619,0.92857,0.80452,0.611,0.56474,2.67075,1.01124,0.000165744,0.000165744,0.000165744
6,71.6103,0.7572,2.17163,1.02559,0.00667,1,0.79043,0.57894,0.7049,2.60924,0.9863,0.00019822,0.00019822,0.00019822
7,82.29,0.7136,2.03199,1.02758,0.00667,1,0.78033,0.3793,1.05275,2.65188,1.17671,0.000229112,0.000229112,0.000229112
8,92.7398,0.67226,1.82299,0.97045,0.00667,1,0.85215,0.4482,0.90068,2.65163,1.20184,0.00025842,0.00025842,0.00025842
9,103.383,0.65554,1.76224,1.07189,0.00667,1,0.89866,0.61513,0.64325,2.57209,1.02491,0.000286144,0.000286144,0.000286144
10,114.153,0.72796,1.64445,1.04965,0.00667,1,0.98125,0.67541,0.56749,2.55317,0.94567,0.000312284,0.000312284,0.000312284
11,124.789,0.7219,1.56051,1.03455,0.00667,1,0.995,0.72525,0.57338,2.51081,0.95021,0.00033684,0.00033684,0.00033684
12,135.575,0.70434,1.47799,0.99899,0.00667,1,0.995,0.71646,0.65537,2.43255,0.97394,0.000359812,0.000359812,0.000359812
13,146.337,0.78764,1.3987,1.07242,0.00667,1,0.94086,0.66677,0.73844,2.38764,0.98922,0.0003812,0.0003812,0.0003812
14,157.015,0.67057,1.30272,0.96382,0.13156,1,0.93872,0.63643,0.7324,2.34797,0.97454,0.000401004,0.000401004,0.000401004
15,167.69,0.7169,1.27595,0.98623,0.70022,0.92857,0.91193,0.57095,0.71103,2.33978,0.99354,0.000419224,0.000419224,0.000419224
16,178.686,0.66029,1.20433,0.95499,0.73852,0.92857,0.91311,0.5672,0.75508,2.36273,1.01394,0.00043586,0.00043586,0.00043586
17,189.52,0.80768,1.21336,1.08858,0.90168,0.65609,0.92502,0.58517,0.75303,2.32387,0.98087,0.000450912,0.000450912,0.000450912
18,200.897,0.72513,1.0938,0.95947,1,0.66998,0.9563,0.6982,0.6503,2.18807,0.93984,0.00046438,0.00046438,0.00046438
19,211.921,0.67879,1.07782,0.96307,1,0.74773,0.96269,0.72215,0.63298,2.10957,0.95565,0.000476264,0.000476264,0.000476264
