epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55808,1.02096,2.61535,1.25879,0.00619,0.92857,0.58772,0.23311,0.99897,2.79461,1.21651,2e-05,2e-05,2e-05
2,9.13054,1.13962,2.68788,1.31059,0.00619,0.92857,0.68574,0.33381,0.83076,2.73614,1.16329,5.8812e-05,5.8812e-05,5.8812e-05
3,13.2492,1.03525,2.68937,1.2525,0.00619,0.92857,0.75154,0.40182,0.70302,2.72066,1.12968,9.604e-05,9.604e-05,9.604e-05
4,17.4126,0.84949,2.49363,1.1942,0.00619,0.92857,0.76208,0.46677,0.71966,2.70453,1.0944,0.000131684,0.000131684,0.000131684
5,21.9783,0.74399,2.3762,1.09335,0.00667,1,0.96793,0.6856,0.58031,2.65064,1.02295,0.000165744,0.000165744,0.000165744
6,26.286,0.77956,2.14613,1.03244,0.00667,1,0.95114,0.66728,0.69554,2.63001,0.99928,0.00019822,0.00019822,0.00019822
7,30.5879,0.74754,2.03339,1.04654,0.00667,1,0.85349,0.56872,0.76468,2.63398,1.02371,0.000229112,0.000229112,0.000229112
8,35.1127,0.65248,1.81038,0.98147,0.00667,1,0.93338,0.65338,0.52649,2.56486,0.95835,0.00025842,0.00025842,0.00025842
9,39.8732,0.75316,1.77748,1.14305,0.00667,1,0.9495,0.6634,0.50473,2.50883,0.94083,0.000286144,0.000286144,0.000286144
10,44.5176,0.75547,1.64809,1.07332,0.00667,1,0.97944,0.69401,0.62934,2.5302,0.97231,0.000312284,0.000312284,0.000312284
11,49.0757,0.73268,1.56257,1.05942,0.00667,1,0.96944,0.69164,0.61736,2.49984,0.98085,0.00033684,0.00033684,0.00033684
12,53.4769,0.68346,1.46147,0.99625,0.00667,1,0.94732,0.68028,0.58461,2.45259,0.96208,0.000359812,0.000359812,0.000359812
13,57.8535,0.76135,1.3955,1.06,0.00667,1,0.81645,0.61633,0.70769,2.43693,1.00761,0.0003812,0.0003812,0.0003812
14,62.1172,0.68826,1.27858,0.97857,0.01505,1,0.79485,0.58212,0.87629,2.38616,1.15849,0.000401004,0.000401004,0.000401004
15,66.5979,0.65389,1.25067,0.97075,0.15402,1,0.918,0.59841,0.83316,2.37488,1.15732,0.000419224,0.000419224,0.000419224
16,71.0588,0.69544,1.2144,0.96951,0.24863,1,0.91265,0.61665,0.74133,2.39439,1.14988,0.00043586,0.00043586,0.00043586
17,75.5032,0.8096,1.19174,1.12908,0.87876,0.85714,0.90235,0.63571,0.58872,2.39792,0.95455,0.000450912,0.000450912,0.000450912
18,79.8631,0.77859,1.07287,0.9975,1,0.55079,0.9088,0.63983,0.66199,2.29048,0.98649,0.00046438,0.00046438,0.00046438
19,84.213,0.68147,1.11253,0.96989,1,0.66123,0.90307,0.62959,0.81575,2.16866,1.06647,0.000476264,0.000476264,0.000476264
20,88.5726,0.67228,1.1596,1.02016,0.99482,0.85714,0.89534,0.66331,0.88493,2.02332,1.10842,0.000486564,0.000486564,0.000486564
21,92.7986,0.65717,1.0021,0.99848,1,0.76707,0.85875,0.66498,0.89876,1.99158,1.11958,0.00049528,0.00049528,0.00049528
22,97.164,0.73162,1.04634,1.05636,0.90741,0.70109,0.82469,0.64315,0.8731,2.09835,1.09394,0.000502412,0.000502412,0.000502412
23,101.546,0.66707,0.92907,0.97177,1,0.54456,0.84009,0.64613,0.94905,2.18417,1.16005,0.00050796,0.00050796,0.00050796
24,105.877,0.72564,0.97146,0.97744,0.88863,0.57008,0.88476,0.66651,0.87153,2.16994,1.11761,0.000511924,0.000511924,0.000511924
25,110.163,0.63563,0.88053,0.98179,1,0.69923,0.93228,0.68207,0.87349,2.0458,1.10023,0.000514304,0.000514304,0.000514304
26,114.442,0.71553,0.94911,1.05712,1,0.84999,0.93885,0.72412,0.82558,1.87316,1.12353,0.0005151,0.0005151,0.0005151
27,118.574,0.73061,0.95033,0.99678,1,0.8304,0.93567,0.7426,0.76141,1.75512,1.13564,0.000514312,0.000514312,0.000514312
28,122.628,0.6531,0.88034,0.9335,1,0.8304,0.93567,0.7426,0.76141,1.75512,1.13564,0.00051194,0.00051194,0.00051194
29,126.697,0.59507,0.8283,0.90277,0.96248,0.85714,0.94513,0.77037,0.70259,1.70762,1.0334,0.000507984,0.000507984,0.000507984
30,131.287,0.59592,0.85391,0.92823,0.99796,0.92857,0.96955,0.74376,0.69042,1.60343,1.05966,0.000502444,0.000502444,0.000502444
31,135.67,0.5971,0.84265,0.98155,0.99796,0.92857,0.96955,0.74376,0.69042,1.60343,1.05966,0.00049532,0.00049532,0.00049532
32,139.981,0.48801,0.76383,0.91486,0.98738,0.92857,0.98265,0.71638,0.72645,1.51827,1.09657,0.000486612,0.000486612,0.000486612
33,144.487,0.6385,0.82946,0.97933,0.99396,0.92857,0.98265,0.77033,0.73278,1.40938,1.04518,0.00047632,0.00047632,0.00047632
34,148.897,0.57005,0.81567,0.91951,0.99396,0.92857,0.98265,0.77033,0.73278,1.40938,1.04518,0.000464444,0.000464444,0.000464444
35,153.354,0.52696,0.79601,0.92778,1,0.92379,0.98265,0.79849,0.72558,1.26572,1.05809,0.000450984,0.000450984,0.000450984
36,157.739,0.54115,0.76122,0.92624,1,0.92416,0.99033,0.81628,0.66456,1.1762,0.98421,0.00043594,0.00043594,0.00043594
37,162.036,0.57366,0.77326,0.92149,1,0.92416,0.99033,0.81628,0.66456,1.1762,0.98421,0.000419312,0.000419312,0.000419312
38,166.425,0.62359,0.79694,0.96646,1,0.92452,0.98625,0.82272,0.59877,1.17632,0.92391,0.0004011,0.0004011,0.0004011
