epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.38246,nan,nan,nan,0,0,0,0,nan,nan,nan,2e-05,2e-05,2e-05
2,4.03577,nan,nan,nan,0,0,0,0,nan,nan,nan,5.8812e-05,5.8812e-05,5.8812e-05
3,5.53657,nan,nan,nan,0,0,0,0,nan,nan,nan,9.604e-05,9.604e-05,9.604e-05
4,7.08997,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000131684,0.000131684,0.000131684
5,8.58614,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165744,0.000165744,0.000165744
6,10.068,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019822,0.00019822,0.00019822
7,11.5654,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229112,0.000229112,0.000229112
8,13.0523,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025842,0.00025842,0.00025842
9,14.5352,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286144,0.000286144,0.000286144
10,16.0355,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312284,0.000312284,0.000312284
11,17.4921,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033684,0.00033684,0.00033684
12,18.8543,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359812,0.000359812,0.000359812
13,20.2969,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003812,0.0003812,0.0003812
14,21.742,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000401004,0.000401004,0.000401004
15,23.1712,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419224,0.000419224,0.000419224
16,24.6007,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043586,0.00043586,0.00043586
17,26.0433,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450912,0.000450912,0.000450912
18,27.5038,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00046438,0.00046438,0.00046438
19,28.9178,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000476264,0.000476264,0.000476264
20,30.2821,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486564,0.000486564,0.000486564
21,31.7274,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049528,0.00049528,0.00049528
22,33.141,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502412,0.000502412,0.000502412
23,34.5836,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00050796,0.00050796,0.00050796
24,36.0608,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000511924,0.000511924,0.000511924
25,37.5058,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514304,0.000514304,0.000514304
26,38.9638,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005151,0.0005151,0.0005151
27,40.4191,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514312,0.000514312,0.000514312
28,41.8378,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00051194,0.00051194,0.00051194
29,43.3082,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000507984,0.000507984,0.000507984
30,44.7719,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502444,0.000502444,0.000502444
31,46.1833,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049532,0.00049532,0.00049532
32,47.6554,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486612,0.000486612,0.000486612
33,49.1065,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00047632,0.00047632,0.00047632
34,50.5777,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000464444,0.000464444,0.000464444
35,52.1796,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450984,0.000450984,0.000450984
36,53.6494,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043594,0.00043594,0.00043594
37,55.0638,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419312,0.000419312,0.000419312
38,56.5032,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004011,0.0004011,0.0004011
39,57.9365,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000381304,0.000381304,0.000381304
40,59.3476,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359924,0.000359924,0.000359924
41,67.6371,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033696,0.00033696,0.00033696
42,69.1395,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312412,0.000312412,0.000312412
43,70.5224,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00028628,0.00028628,0.00028628
44,71.9903,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000258564,0.000258564,0.000258564
45,73.4611,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229264,0.000229264,0.000229264
46,74.8893,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019838,0.00019838,0.00019838
47,76.2926,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165912,0.000165912,0.000165912
48,77.7362,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00013186,0.00013186,0.00013186
49,79.1427,nan,nan,nan,0,0,0,0,nan,nan,nan,9.6224e-05,9.6224e-05,9.6224e-05
50,80.5957,nan,nan,nan,0,0,0,0,nan,nan,nan,5.9004e-05,5.9004e-05,5.9004e-05
