epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.9621,1.18292,2.67205,1.33164,0.00667,1,0.56906,0.21354,1.00003,2.79941,1.22087,2e-05,2e-05,2e-05
2,14.0147,1.16233,2.69497,1.31013,0.00619,0.92857,0.72198,0.38207,0.85419,2.77638,1.20283,5.8812e-05,5.8812e-05,5.8812e-05
3,18.9866,1.02082,2.65442,1.23241,0.00619,0.92857,0.688,0.32949,0.81885,2.75905,1.18378,9.604e-05,9.604e-05,9.604e-05
4,23.616,0.83075,2.4358,1.1567,0.00667,1,0.74065,0.38478,0.71112,2.72617,1.09602,0.000131684,0.000131684,0.000131684
5,28.0777,0.7179,2.36856,1.08764,0.00619,0.92857,0.80501,0.61477,0.56139,2.6666,1.01462,0.000165744,0.000165744,0.000165744
6,32.4684,0.7577,2.17207,1.02865,0.00667,1,0.77719,0.57186,0.75869,2.60799,1.01564,0.00019822,0.00019822,0.00019822
7,37.0289,0.72333,2.02969,1.02599,0.00667,1,0.78729,0.39931,0.86585,2.66795,1.00153,0.000229112,0.000229112,0.000229112
8,41.5694,0.71569,1.81344,0.99023,0.00667,1,0.79583,0.41066,0.78563,2.63219,1.06775,0.00025842,0.00025842,0.00025842
9,46.0691,0.66783,1.75921,1.06187,0.00667,1,0.77419,0.46304,0.70887,2.5919,1.01374,0.000286144,0.000286144,0.000286144
10,50.6405,0.6742,1.63467,1.03652,0.00667,1,0.84212,0.54467,0.6171,2.53729,0.94564,0.000312284,0.000312284,0.000312284
11,55.3415,0.71072,1.54025,1.04569,0.00667,1,0.86605,0.6183,0.53862,2.50246,0.9403,0.00033684,0.00033684,0.00033684
12,59.996,0.66891,1.46463,0.97701,0.00667,1,0.89349,0.60751,0.66282,2.45152,1.0633,0.000359812,0.000359812,0.000359812
13,64.5006,0.78528,1.39202,1.07608,0.00667,1,0.89618,0.55881,0.80506,2.44551,1.11434,0.0003812,0.0003812,0.0003812
14,69.0097,0.65204,1.28698,0.95788,0.00667,1,0.89412,0.56313,0.84106,2.41252,1.12332,0.000401004,0.000401004,0.000401004
15,73.6014,0.67421,1.23871,0.9634,0.00667,1,0.89223,0.5389,0.8416,2.43299,1.11907,0.000419224,0.000419224,0.000419224
