epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43713,nan,nan,nan,0,0,0,0,nan,nan,nan,2e-05,2e-05,2e-05
2,3.95664,nan,nan,nan,0,0,0,0,nan,nan,nan,5.8812e-05,5.8812e-05,5.8812e-05
3,5.49077,nan,nan,nan,0,0,0,0,nan,nan,nan,9.604e-05,9.604e-05,9.604e-05
4,6.96041,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000131684,0.000131684,0.000131684
5,8.35681,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165744,0.000165744,0.000165744
6,9.86248,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019822,0.00019822,0.00019822
7,11.3844,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229112,0.000229112,0.000229112
8,12.8605,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025842,0.00025842,0.00025842
9,14.281,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286144,0.000286144,0.000286144
10,15.7531,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312284,0.000312284,0.000312284
11,17.2139,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033684,0.00033684,0.00033684
12,18.6819,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359812,0.000359812,0.000359812
13,20.1985,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003812,0.0003812,0.0003812
14,21.6765,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000401004,0.000401004,0.000401004
15,23.1521,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419224,0.000419224,0.000419224
16,24.6189,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043586,0.00043586,0.00043586
17,26.0711,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450912,0.000450912,0.000450912
18,27.539,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00046438,0.00046438,0.00046438
19,28.9902,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000476264,0.000476264,0.000476264
20,30.5931,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486564,0.000486564,0.000486564
21,32.0596,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049528,0.00049528,0.00049528
22,33.5274,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502412,0.000502412,0.000502412
23,35.1476,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00050796,0.00050796,0.00050796
24,36.7127,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000511924,0.000511924,0.000511924
25,38.1621,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514304,0.000514304,0.000514304
26,39.8456,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005151,0.0005151,0.0005151
27,41.3169,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514312,0.000514312,0.000514312
28,42.8016,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00051194,0.00051194,0.00051194
29,44.3393,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000507984,0.000507984,0.000507984
30,45.8036,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502444,0.000502444,0.000502444
31,47.288,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049532,0.00049532,0.00049532
32,48.8231,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486612,0.000486612,0.000486612
33,50.4092,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00047632,0.00047632,0.00047632
34,51.9761,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000464444,0.000464444,0.000464444
35,53.5436,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450984,0.000450984,0.000450984
36,55.1113,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043594,0.00043594,0.00043594
37,56.7127,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419312,0.000419312,0.000419312
38,58.4973,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004011,0.0004011,0.0004011
39,60.1655,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000381304,0.000381304,0.000381304
40,61.6012,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359924,0.000359924,0.000359924
41,69.7093,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033696,0.00033696,0.00033696
42,71.2245,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312412,0.000312412,0.000312412
43,72.6825,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00028628,0.00028628,0.00028628
44,74.2197,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000258564,0.000258564,0.000258564
45,75.6572,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229264,0.000229264,0.000229264
46,77.1819,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019838,0.00019838,0.00019838
47,78.631,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165912,0.000165912,0.000165912
48,80.1327,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00013186,0.00013186,0.00013186
49,81.6,nan,nan,nan,0,0,0,0,nan,nan,nan,9.6224e-05,9.6224e-05,9.6224e-05
50,83.0706,nan,nan,nan,0,0,0,0,nan,nan,nan,5.9004e-05,5.9004e-05,5.9004e-05
