epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.229,1.18292,2.67205,1.33164,0.00667,1,0.56906,0.21354,1.00004,2.79941,1.22088,2e-05,2e-05,2e-05
2,31.0793,1.16229,2.69471,1.31012,0.00619,0.92857,0.72198,0.38223,0.85437,2.77575,1.20394,5.9406e-05,5.9406e-05,5.9406e-05
3,44.7085,1.01828,2.65462,1.23071,0.00619,0.92857,0.70571,0.33585,0.81971,2.75465,1.18856,9.802e-05,9.802e-05,9.802e-05
