epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92175,1.18292,2.67205,1.33164,0.00667,1,0.56906,0.21354,1.00003,2.79941,1.22087,2e-05,2e-05,2e-05
2,9.32195,1.16233,2.69497,1.31013,0.00619,0.92857,0.72198,0.38207,0.85419,2.77638,1.20283,5.8812e-05,5.8812e-05,5.8812e-05
3,13.705,1.02082,2.65442,1.23241,0.00619,0.92857,0.688,0.32949,0.81885,2.75905,1.18378,9.604e-05,9.604e-05,9.604e-05
4,18.1222,0.83075,2.4358,1.1567,0.00667,1,0.74065,0.38478,0.71112,2.72617,1.09602,0.000131684,0.000131684,0.000131684
5,22.6625,0.7179,2.36856,1.08764,0.00619,0.92857,0.80501,0.61477,0.56139,2.6666,1.01462,0.000165744,0.000165744,0.000165744
6,27.2382,0.7577,2.17207,1.02865,0.00667,1,0.77719,0.57186,0.75869,2.60799,1.01564,0.00019822,0.00019822,0.00019822
7,31.8156,0.72333,2.02969,1.02599,0.00667,1,0.78729,0.39931,0.86585,2.66795,1.00153,0.000229112,0.000229112,0.000229112
8,36.4447,0.71569,1.81344,0.99023,0.00667,1,0.79583,0.41066,0.78563,2.63219,1.06775,0.00025842,0.00025842,0.00025842
