epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.201,nan,nan,nan,0,0,0,0,nan,nan,nan,2e-05,2e-05,2e-05
2,3.7697,nan,nan,nan,0,0,0,0,nan,nan,nan,5.8812e-05,5.8812e-05,5.8812e-05
3,5.21974,nan,nan,nan,0,0,0,0,nan,nan,nan,9.604e-05,9.604e-05,9.604e-05
4,6.70447,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000131684,0.000131684,0.000131684
5,8.20576,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000165744,0.000165744,0.000165744
6,9.70726,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00019822,0.00019822,0.00019822
7,11.1915,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000229112,0.000229112,0.000229112
8,12.6843,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00025842,0.00025842,0.00025842
9,14.1347,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000286144,0.000286144,0.000286144
10,15.6035,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000312284,0.000312284,0.000312284
11,17.0301,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033684,0.00033684,0.00033684
12,18.4683,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359812,0.000359812,0.000359812
13,19.9207,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0003812,0.0003812,0.0003812
14,21.3799,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000401004,0.000401004,0.000401004
15,22.8294,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419224,0.000419224,0.000419224
16,24.2662,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043586,0.00043586,0.00043586
17,25.7028,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450912,0.000450912,0.000450912
18,27.1648,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00046438,0.00046438,0.00046438
19,28.5796,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000476264,0.000476264,0.000476264
20,30.0042,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486564,0.000486564,0.000486564
21,31.4831,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049528,0.00049528,0.00049528
22,32.9167,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502412,0.000502412,0.000502412
23,34.3491,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00050796,0.00050796,0.00050796
24,35.7755,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000511924,0.000511924,0.000511924
25,37.223,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514304,0.000514304,0.000514304
26,38.631,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0005151,0.0005151,0.0005151
27,40.083,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000514312,0.000514312,0.000514312
28,41.4775,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00051194,0.00051194,0.00051194
29,42.9109,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000507984,0.000507984,0.000507984
30,44.3812,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000502444,0.000502444,0.000502444
31,45.7901,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00049532,0.00049532,0.00049532
32,47.2538,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000486612,0.000486612,0.000486612
33,48.6916,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00047632,0.00047632,0.00047632
34,50.1241,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000464444,0.000464444,0.000464444
35,51.6092,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000450984,0.000450984,0.000450984
36,53.0944,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00043594,0.00043594,0.00043594
37,54.4934,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000419312,0.000419312,0.000419312
38,55.9618,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0004011,0.0004011,0.0004011
39,57.4287,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000381304,0.000381304,0.000381304
40,58.8473,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000359924,0.000359924,0.000359924
41,65.7359,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00033696,0.00033696,0.00033696
