epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85359,1.18292,2.67205,1.33164,0.00667,1,0.56906,0.21354,1.00003,2.79941,1.22087,2e-05,2e-05,2e-05
2,13.1301,1.16233,2.69497,1.31013,0.00619,0.92857,0.72198,0.38207,0.85419,2.77638,1.20283,5.8812e-05,5.8812e-05,5.8812e-05
3,19.7311,1.02082,2.65442,1.23241,0.00619,0.92857,0.688,0.32949,0.81885,2.75905,1.18378,9.604e-05,9.604e-05,9.604e-05
4,24.5411,0.83075,2.4358,1.1567,0.00667,1,0.74065,0.38478,0.71112,2.72617,1.09602,0.000131684,0.000131684,0.000131684
5,29.1099,0.7179,2.36856,1.08764,0.00619,0.92857,0.80501,0.61477,0.56139,2.6666,1.01462,0.000165744,0.000165744,0.000165744
6,33.5901,0.7577,2.17207,1.02865,0.00667,1,0.77719,0.57186,0.75869,2.60799,1.01564,0.00019822,0.00019822,0.00019822
7,38.0498,0.72333,2.02969,1.02599,0.00667,1,0.78729,0.39931,0.86585,2.66795,1.00153,0.000229112,0.000229112,0.000229112
8,42.634,0.71569,1.81344,0.99023,0.00667,1,0.79583,0.41066,0.78563,2.63219,1.06775,0.00025842,0.00025842,0.00025842
9,47.2999,0.66783,1.75921,1.06187,0.00667,1,0.77419,0.46304,0.70887,2.5919,1.01374,0.000286144,0.000286144,0.000286144
10,51.9383,0.6742,1.63467,1.03652,0.00667,1,0.84212,0.54467,0.6171,2.53729,0.94564,0.000312284,0.000312284,0.000312284
11,56.5,0.71072,1.54025,1.04569,0.00667,1,0.86605,0.6183,0.53862,2.50246,0.9403,0.00033684,0.00033684,0.00033684
12,61.0898,0.66891,1.46463,0.97701,0.00667,1,0.89349,0.60751,0.66282,2.45152,1.0633,0.000359812,0.000359812,0.000359812
13,65.683,0.78528,1.39202,1.07608,0.00667,1,0.89618,0.55881,0.80506,2.44551,1.11434,0.0003812,0.0003812,0.0003812
14,70.3034,0.65204,1.28698,0.95788,0.00667,1,0.89412,0.56313,0.84106,2.41252,1.12332,0.000401004,0.000401004,0.000401004
15,74.906,0.67421,1.23871,0.9634,0.00667,1,0.89223,0.5389,0.8416,2.43299,1.11907,0.000419224,0.000419224,0.000419224
16,79.4098,0.66377,1.20544,0.95034,0.01497,1,0.93068,0.44543,0.973,2.46607,1.16112,0.00043586,0.00043586,0.00043586
17,84,0.80845,1.24743,1.09561,0.01473,1,0.93059,0.51481,0.91852,2.40206,1.14133,0.000450912,0.000450912,0.000450912
18,88.5224,0.6996,1.09901,0.96287,1,0.49881,0.948,0.60768,0.84257,2.2817,1.09209,0.00046438,0.00046438,0.00046438
19,93.0047,0.66837,1.03894,0.96831,0.98467,0.42857,0.90538,0.60123,0.79667,2.18098,1.09098,0.000476264,0.000476264,0.000476264
20,97.4738,0.56696,1.05305,0.96295,0.90349,0.6703,0.90596,0.64022,0.85485,2.12637,1.15795,0.000486564,0.000486564,0.000486564
21,101.95,0.66849,0.96636,0.99836,1,0.76658,0.89228,0.65541,0.91941,2.11361,1.15018,0.00049528,0.00049528,0.00049528
22,106.49,0.73844,1.04754,1.06291,1,0.76914,0.89695,0.66008,1.01737,2.125,1.27358,0.000502412,0.000502412,0.000502412
23,111.057,0.64818,0.96683,0.9878,0.99944,0.78571,0.89686,0.61298,1.00798,2.16056,1.31026,0.00050796,0.00050796,0.00050796
24,115.464,0.65359,0.94332,0.96459,0.98686,0.78571,0.90435,0.65466,0.98037,2.12939,1.24983,0.000511924,0.000511924,0.000511924
25,119.941,0.5923,0.8511,0.96985,0.91139,0.71429,0.91132,0.66542,0.69418,2.00382,1.03414,0.000514304,0.000514304,0.000514304
26,124.478,0.6335,0.88625,1.03622,0.99408,0.92857,0.92629,0.70068,0.7194,1.95148,1.017,0.0005151,0.0005151,0.0005151
27,129.061,0.69809,0.90264,0.95528,1,0.88845,0.92626,0.6984,0.72161,1.95148,1.01926,0.000514312,0.000514312,0.000514312
28,133.7,0.61854,0.86358,0.92392,1,0.88845,0.92626,0.6984,0.72161,1.95148,1.01926,0.00051194,0.00051194,0.00051194
29,138.416,0.57172,0.83499,0.90082,1,0.86311,0.92633,0.69929,0.73436,1.95814,1.07522,0.000507984,0.000507984,0.000507984
